Target,Sample,Cq,Average Ct,StDev Ct,dCt,ddCt,2-(expddCt) v PPIA
ACTA2,CC_DMSO,26.99,26.99,0.01,0.7824,1.0343,0.4883
ACTA2,CC_DMSO,27,,,,,
ACTA2,CC_Alda1,26.05,26.01,0.06,-0.0801,0.1718,0.8877
ACTA2,CC_Alda1,25.97,,,,,
ACTA2,FC_DMSO,27.44,27.41,0.05,0.9614,1.2133,0.4313
ACTA2,FC_DMSO,27.37,,,,,
ACTA2,FC_Alda1,29.59,29.6,0.01,3.349,3.6009,0.0824
ACTA2,FC_Alda1,29.61,,,,,
ACTA2,CALIB_NA,25.7,25.77,0.1,-0.2519,,
ACTA2,CALIB_NA,25.84,,,,,
ACTA2,NTC_NA,,,,,,
ACTA2,NTC_NA,,,,,,
COL1A1,CC_DMSO,25.6,25.59,0.02,-0.6226,3.9472,0.0648
COL1A1,CC_DMSO,25.57,,,,,
COL1A1,CC_Alda1,26.32,26.36,0.06,0.2688,4.8386,0.0349
COL1A1,CC_Alda1,26.4,,,,,
COL1A1,FC_DMSO,23.86,23.85,0.01,-2.5955,1.9744,0.2545
COL1A1,FC_DMSO,23.84,,,,,
COL1A1,FC_Alda1,25.63,25.61,0.03,-0.6414,3.9285,0.0657
COL1A1,FC_Alda1,25.59,,,,,
COL1A1,CALIB_NA,21.47,21.45,0.03,-4.5698,,
COL1A1,CALIB_NA,21.43,,,,,
COL1A1,NTC_NA,38.83,,,,,
COL1A1,NTC_NA,,,,,,
CYR61,CC_DMSO,25.62,25.73,0.16,-0.4803,0.8992,0.5362
CYR61,CC_DMSO,25.84,,,,,
CYR61,CC_Alda1,26.34,26.36,0.03,0.2749,1.6544,0.3177
CYR61,CC_Alda1,26.38,,,,,
CYR61,FC_DMSO,28.74,28.75,0.01,2.3059,3.6854,0.0777
CYR61,FC_DMSO,28.76,,,,,
CYR61,FC_Alda1,29,29.03,0.04,2.7782,4.1578,0.056
CYR61,FC_Alda1,29.05,,,,,
CYR61,CALIB_NA,24.6,24.64,0.06,-1.3795,,
CYR61,CALIB_NA,24.68,,,,,
CYR61,NTC_NA,,,,,,
CYR61,NTC_NA,,,,,,
FN,CC_DMSO,22.13,22.21,0.1,-4.0058,1.1216,0.4596
FN,CC_DMSO,22.28,,,,,
FN,CC_Alda1,22.56,22.57,0.01,-3.5181,1.6093,0.3278
FN,CC_Alda1,22.58,,,,,
FN,FC_DMSO,22.85,22.83,0.03,-3.6207,1.5067,0.3519
FN,FC_DMSO,22.8,,,,,
FN,FC_Alda1,23.89,23.94,0.07,-2.3083,2.8192,0.1417
FN,FC_Alda1,23.99,,,,,
FN,CALIB_NA,20.89,20.89,0.01,-5.1274,,
FN,CALIB_NA,20.9,,,,,
FN,NTC_NA,,,,,,
FN,NTC_NA,,,,,,
SERPINE1,CC_DMSO,26.03,26.1,0.09,-0.1149,1.5159,0.3497
SERPINE1,CC_DMSO,26.16,,,,,
SERPINE1,CC_Alda1,27.11,27.09,0.03,1.0015,2.6322,0.1613
SERPINE1,CC_Alda1,27.07,,,,,
SERPINE1,FC_DMSO,27.22,27.19,0.04,0.7459,2.3766,0.1926
SERPINE1,FC_DMSO,27.17,,,,,
SERPINE1,FC_Alda1,27.24,27.21,0.04,0.9643,2.595,0.1655
SERPINE1,FC_Alda1,27.19,,,,,
SERPINE1,CALIB_NA,24.39,24.39,0,-1.6307,,
SERPINE1,CALIB_NA,24.39,,,,,
SERPINE1,NTC_NA,,,,,,
SERPINE1,NTC_NA,37.76,,,,,
PPIA,CC_DMSO,26.16,26.21,0.07,26.249,0.1447,
PPIA,CC_DMSO,26.26,,,,,
PPIA,CC_Alda1,26.14,26.09,0.07,,,
PPIA,CC_Alda1,26.04,,,,,
PPIA,FC_DMSO,26.42,26.45,0.03,,,
PPIA,FC_DMSO,26.47,,,,,
PPIA,FC_Alda1,26.29,26.25,0.05,,,
PPIA,FC_Alda1,26.21,,,,,
PPIA,CALIB_NA,26.02,26.02,0.01,,,
PPIA,CALIB_NA,26.03,,,,,
PPIA,NTC_NA,,,,,,
PPIA,NTC_NA,,,,,,
bGUS,CC_DMSO,29.02,,,,,
bGUS,CC_DMSO,29.04,,,,,
bGUS,CC_Alda1,30.29,,,,,
bGUS,CC_Alda1,30.14,,,,,
bGUS,FC_DMSO,31.85,,,,,
bGUS,FC_DMSO,31.64,,,,,
bGUS,FC_Alda1,32.08,,,,,
bGUS,FC_Alda1,32.1,,,,,
bGUS,CALIB_NA,26.96,,,,,
bGUS,CALIB_NA,26.91,,,,,
bGUS,NTC_NA,,,,,,
bGUS,NTC_NA,,,,,,
